unit;month;geo;year;value
NR;M01;BY;1978;NA
NR;M01;BY;1977;NA
NR;M01;BY;1976;NA
NR;M01;BY;1975;NA
NR;M01;BY;1974;NA
NR;M01;BY;1973;NA
NR;M01;BY;1972;NA
NR;M01;BY;1971;NA
NR;M01;BY;1970;NA
NR;M01;BY;1969;NA
NR;M01;BY;1968;NA
NR;M01;BY;1967;NA
NR;M01;BY;1966;NA
NR;M01;BY;1965;NA
NR;M01;BY;1964;NA
NR;M01;BY;1963;NA
NR;M01;BY;1962;NA
NR;M01;BY;1961;NA
NR;M01;BY;1960;NA
NR;M01;CH;2019;5968
NR;M01;CH;2018;6619
NR;M01;CH;2017;7545
NR;M01;CH;2016;5831
NR;M01;CH;2015;6696
NR;M01;CH;2014;5824
NR;M01;CH;2013;6183
NR;M01;CH;2012;5967
NR;M01;CH;2011;5768
NR;M01;CH;2010;5575
NR;M01;CH;2009;6607
NR;M01;CH;2008;5928
NR;M01;CH;2007;5611
NR;M01;CH;2006;5720
NR;M01;CH;2005;5752
NR;M01;CH;2004;6404
NR;M01;CH;2003;5833
NR;M01;CH;2002;5937
NR;M01;CH;2001;5573
NR;M01;CH;2000;7081
NR;M01;CH;1999;6174
NR;M01;CH;1998;5610
NR;M01;CH;1997;6895
NR;M01;CH;1996;6206
NR;M01;CH;1995;5920
NR;M01;CH;1994;6073
NR;M01;CH;1993;5663
NR;M01;CH;1992;5922
NR;M01;CH;1991;5458
NR;M01;CH;1990;7748
NR;M01;CH;1989;5470
NR;M01;CH;1988;5247
NR;M01;CH;1987;5474
NR;M01;CH;1986;5613
NR;M01;CH;1985;5866
NR;M01;CH;1984;5243
NR;M01;CH;1983;6122
NR;M01;CH;1982;5339
NR;M01;CH;1981;5651
NR;M01;CH;1980;5324
NR;M01;CH;1979;5259
NR;M01;CH;1978;5770
NR;M01;CH;1977;4969
NR;M01;CH;1976;4907
NR;M01;CH;1975;5695
NR;M01;CH;1974;4988
NR;M01;CH;1973;5981
NR;M01;CH;1972;5712
NR;M01;CH;1971;5457
NR;M01;CH;1970;6379
NR;M01;CH;1969;5272
NR;M01;CH;1968;5325
NR;M01;CH;1967;5165
NR;M01;CH;1966;5003
NR;M01;CH;1965;4982
NR;M01;CH;1964;5038
NR;M01;CH;1963;5151
NR;M01;CH;1962;4956
